instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	c4.2xlarge	32	60000	11556	100	120000000	222	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	11556	100	120000000	222	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	11556	100	120000000	226	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	11556	100	120000000	226	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	13482	100	140000000	256	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	13482	100	140000000	260	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	13482	100	140000000	260	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	13482	100	140000000	264	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	13482	100	140000000	266	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15408	100	160000000	298	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15408	100	160000000	302	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15408	100	160000000	302	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15408	100	160000000	304	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15408	100	160000000	326	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	17334	100	180000000	330	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	17334	100	180000000	332	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	17334	100	180000000	338	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	17334	100	180000000	340	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	17334	100	180000000	344	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	19260	100	200000000	368	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	19260	100	200000000	380	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	19260	100	200000000	380	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	19260	100	200000000	384	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	19260	100	200000000	384	1.0	0.975170773880192	0.995589462652916
4	m4.2xlarge	32	128000	9530	1000	10000000	176	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9530	1000	10000000	176	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9530	1000	10000000	180	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9530	1000	10000000	184	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9530	1000	10000000	186	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9630	100	100000000	178	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9630	100	100000000	182	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9630	100	100000000	182	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9630	100	100000000	182	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	9630	100	100000000	184	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	11556	100	120000000	216	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	11556	100	120000000	222	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	11556	100	120000000	226	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	11556	100	120000000	226	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	11556	100	120000000	228	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	13482	100	140000000	250	0.73813508679461	0.917837907061713	0.817114731721182
