instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	m4.2xlarge	16	64000	17675	100	175000000	0.0	182	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.25	214	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.25	214	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.25	216	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.25	216	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.25	218	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.5	248	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.5	250	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.5	250	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.5	250	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.5	260	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.75	284	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.75	286	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.75	288	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.75	290	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.75	308	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	1.0	344	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	1.0	350	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	1.0	352	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	1.0	354	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	1.0	360	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.0	200	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.0	202	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.0	202	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.0	204	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.0	210	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.25	242	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.25	242	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.25	242	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.25	242	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.25	244	0.73813508679461	0.917837907061713	0.817114731721182
