instance_count	machine_type	slots	memory	data_size_MB	pages	convergence_criterion	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
16	r4.xlarge	64	480000	huge	5000000	0.0	223	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	5000000	0.0	225	0.621758403741034	0.91340066266808	0.680859830691666
20	c4.xlarge	80	140000	bigdata	50000000	0.0	364	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	bigdata	50000000	0.0	510	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	bigdata	50000000	0.0	412	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	bigdata	50000000	0.0	484	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	bigdata	50000000	0.0	357	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	5000000	0.0	243	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	5000000	0.0	220	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	5000000	0.0	210	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	5000000	0.0	188	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	5000000	0.0	219	0.981580131098954	0.916863624781091	1.0
20	m4.xlarge	80	320000	bigdata	50000000	0.0	391	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	bigdata	50000000	0.0	316	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	bigdata	50000000	0.0	405	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	bigdata	50000000	0.0	359	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	bigdata	50000000	0.0	379	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	5000000	0.0	204	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	5000000	0.0	243	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	5000000	0.0	234	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	5000000	0.0	204	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	5000000	0.0	223	0.724716697086843	0.939577226630061	0.806717869741047
20	r4.xlarge	80	600000	bigdata	50000000	0.0	294	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	bigdata	50000000	0.0	356	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	bigdata	50000000	0.0	312	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	bigdata	50000000	0.0	297	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	bigdata	50000000	0.0	279	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	5000000	0.0	236	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	5000000	0.0	239	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	5000000	0.0	208	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	5000000	0.0	227	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	5000000	0.0	249	0.621758403741034	0.91340066266808	0.680859830691666
24	c4.large	48	72000	huge	5000000	0.0	261	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	5000000	0.0	303	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	5000000	0.0	341	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	5000000	0.0	354	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	5000000	0.0	315	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.xlarge	96	168000	bigdata	50000000	0.0	412	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	bigdata	50000000	0.0	393	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	bigdata	50000000	0.0	446	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	bigdata	50000000	0.0	377	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	bigdata	50000000	0.0	352	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	5000000	0.0	197	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	5000000	0.0	223	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	5000000	0.0	216	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	5000000	0.0	218	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	5000000	0.0	148	0.981580131098954	0.916863624781091	1.0
24	m4.large	48	192000	bigdata	50000000	0.0	591	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	bigdata	50000000	0.0	515	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	bigdata	50000000	0.0	614	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	bigdata	50000000	0.0	640	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	bigdata	50000000	0.0	536	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	5000000	0.0	312	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	5000000	0.0	301	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	5000000	0.0	331	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	5000000	0.0	320	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	5000000	0.0	331	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.xlarge	96	384000	bigdata	50000000	0.0	352	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	bigdata	50000000	0.0	296	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	bigdata	50000000	0.0	336	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	bigdata	50000000	0.0	324	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	bigdata	50000000	0.0	338	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	5000000	0.0	209	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	5000000	0.0	247	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	5000000	0.0	249	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	5000000	0.0	231	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	5000000	0.0	185	0.724716697086843	0.939577226630061	0.806717869741047
24	r4.large	48	360000	bigdata	50000000	0.0	474	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	bigdata	50000000	0.0	466	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	bigdata	50000000	0.0	481	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	bigdata	50000000	0.0	475	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	bigdata	50000000	0.0	467	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	5000000	0.0	312	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	5000000	0.0	245	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	5000000	0.0	247	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	5000000	0.0	272	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	5000000	0.0	253	0.626835516578723	1.0	0.670704216951795
24	r4.xlarge	96	720000	bigdata	50000000	0.0	275	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	bigdata	50000000	0.0	297	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	bigdata	50000000	0.0	328	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	bigdata	50000000	0.0	299	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	bigdata	50000000	0.0	231	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	huge	5000000	0.0	234	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	huge	5000000	0.0	182	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	huge	5000000	0.0	247	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	huge	5000000	0.0	211	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	huge	5000000	0.0	234	0.621758403741034	0.91340066266808	0.680859830691666
32	c4.large	64	96000	huge	5000000	0.0	278	0.958215477247805	0.963738302503114	0.959066866763844
32	c4.large	64	96000	huge	5000000	0.0	317	0.958215477247805	0.963738302503114	0.959066866763844
32	c4.large	64	96000	huge	5000000	0.0	285	0.958215477247805	0.963738302503114	0.959066866763844
32	c4.large	64	96000	huge	5000000	0.0	269	0.958215477247805	0.963738302503114	0.959066866763844
32	c4.large	64	96000	huge	5000000	0.0	260	0.958215477247805	0.963738302503114	0.959066866763844
32	m4.large	64	256000	bigdata	50000000	0.0	391	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	bigdata	50000000	0.0	479	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	bigdata	50000000	0.0	387	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	bigdata	50000000	0.0	466	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	bigdata	50000000	0.0	484	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	huge	5000000	0.0	261	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	huge	5000000	0.0	317	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	huge	5000000	0.0	308	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	huge	5000000	0.0	269	0.719976297083032	0.963352406209638	0.757775976316556
32	m4.large	64	256000	huge	5000000	0.0	267	0.719976297083032	0.963352406209638	0.757775976316556
32	r4.large	64	480000	bigdata	50000000	0.0	439	0.626835516578723	1.0	0.670704216951795
