instance_count	machine_type	slots	memory	data_size_MB	use_dense	examples	features	pages	classes	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
6	m4.xlarge	24	96000	huge	False	10000	1000	500000	100	905	0.724716697086843	0.939577226630061	0.806717869741047
6	m4.xlarge	24	96000	huge	False	10000	1000	500000	100	1132	0.724716697086843	0.939577226630061	0.806717869741047
6	m4.xlarge	24	96000	huge	False	10000	1000	500000	100	797	0.724716697086843	0.939577226630061	0.806717869741047
6	m4.xlarge	24	96000	huge	False	10000	1000	500000	100	1102	0.724716697086843	0.939577226630061	0.806717869741047
6	m4.xlarge	24	96000	huge	False	10000	1000	500000	100	1201	0.724716697086843	0.939577226630061	0.806717869741047
6	r4.2xlarge	48	366000	bigdata	False	10000	100000	20000000	20000	1160	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	bigdata	False	10000	100000	20000000	20000	1177	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	bigdata	False	10000	100000	20000000	20000	1125	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	bigdata	False	10000	100000	20000000	20000	1097	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	bigdata	False	10000	100000	20000000	20000	1340	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	huge	False	10000	1000	500000	100	581	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	huge	False	10000	1000	500000	100	546	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	huge	False	10000	1000	500000	100	508	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	huge	False	10000	1000	500000	100	580	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.2xlarge	48	366000	huge	False	10000	1000	500000	100	507	0.621439738915361	0.699904926309755	0.683905823195575
6	r4.large	12	90000	bigdata	False	10000	100000	20000000	20000	4546	0.626835516578723	1.0	0.670704216951795
6	r4.large	12	90000	bigdata	False	10000	100000	20000000	20000	5139	0.626835516578723	1.0	0.670704216951795
6	r4.large	12	90000	bigdata	False	10000	100000	20000000	20000	4210	0.626835516578723	1.0	0.670704216951795
6	r4.large	12	90000	bigdata	False	10000	100000	20000000	20000	4555	0.626835516578723	1.0	0.670704216951795
6	r4.large	12	90000	bigdata	False	10000	100000	20000000	20000	4959	0.626835516578723	1.0	0.670704216951795
6	r4.large	12	90000	huge	False	10000	1000	500000	100	2645	0.626835516578723	1.0	0.670704216951795
6	r4.large	12	90000	huge	False	10000	1000	500000	100	1907	0.626835516578723	1.0	0.670704216951795
6	r4.large	12	90000	huge	False	10000	1000	500000	100	2364	0.626835516578723	1.0	0.670704216951795
6	r4.large	12	90000	huge	False	10000	1000	500000	100	2131	0.626835516578723	1.0	0.670704216951795
