instance_count	machine_type	slots	memory	data_size_MB	examples	features	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
16	c4.large	32	48000	bigdata	10000	700000	4478	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	bigdata	10000	700000	4583	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	bigdata	10000	700000	4827	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	bigdata	10000	700000	3812	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	10000	300000	2271	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	10000	300000	1857	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	10000	300000	2067	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	10000	300000	1965	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	10000	300000	1969	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.xlarge	64	112000	bigdata	10000	700000	3514	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	bigdata	10000	700000	3835	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	bigdata	10000	700000	3330	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	bigdata	10000	700000	3844	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	bigdata	10000	700000	4466	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	10000	300000	1934	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	10000	300000	1762	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	10000	300000	1521	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	10000	300000	1788	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	10000	300000	1452	0.981580131098954	0.916863624781091	1.0
16	m4.large	32	128000	bigdata	10000	700000	2637	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	10000	700000	2542	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	10000	700000	2330	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	10000	700000	2466	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	10000	700000	2353	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	10000	300000	1184	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	10000	300000	1580	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	10000	300000	1225	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	10000	300000	1206	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	10000	300000	1283	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.xlarge	64	256000	bigdata	10000	700000	2991	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	10000	700000	3008	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	10000	700000	2566	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	10000	700000	3531	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	10000	700000	1961	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	10000	300000	1738	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	10000	300000	1723	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	10000	300000	1783	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	10000	300000	1874	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	10000	300000	1547	0.724716697086843	0.939577226630061	0.806717869741047
16	r4.large	32	240000	bigdata	10000	700000	2119	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	10000	700000	2909	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	10000	700000	2187	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	10000	700000	2058	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	10000	700000	2510	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	10000	300000	1075	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	10000	300000	1173	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	10000	300000	1091	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	10000	300000	1096	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	10000	300000	1331	0.626835516578723	1.0	0.670704216951795
16	r4.xlarge	64	480000	bigdata	10000	700000	2410	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	10000	700000	2577	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	10000	700000	2705	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	10000	700000	2587	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	10000	700000	2671	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	10000	300000	1782	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	10000	300000	1681	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	10000	300000	1709	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	10000	300000	1433	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	10000	300000	1734	0.621758403741034	0.91340066266808	0.680859830691666
